Category: All categories

Region,移民: (1/1/20 - 12/14/23),走线: (1/1/20 - 12/14/23)
Ningxia,100%,
Hebei,100%,
Qinghai,100%,
Inner Mongolia,100%,
Jiangxi,100%,
Chongqing,100%,
Guizhou,100%,
Anhui,100%,
Henan,100%,
Sichuan,100%,
Tianjin,100%,
Shanxi,100%,
Hubei,100%,
Fujian,100%,
Hunan,100%,
Liaoning,100%,
Jilin,100%,
Hainan,100%,
Shandong,100%,
Shaanxi,100%,
Jiangsu,100%,
Guangxi,100%,
Guangdong,91%,9%
Yunnan,100%,
Shanghai,93%,7%
Zhejiang,100%,
Beijing,94%,6%
Xinjiang,100%,
Heilongjiang,100%,
Tibet,,
Gansu,,
